anxiety_level,self_esteem,mental_health_history,depression,headache,blood_pressure,sleep_quality,breathing_problem,noise_level,living_conditions,safety,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,extracurricular_activities,bullying,stress_level
2.142857142857143,2.833333333333333,0.0,1.851851851851852,2.0,0.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.333333333333333,2.0,3.0,2.0,1
2.8571428571428568,2.833333333333333,0.0,2.4074074074074074,3.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.333333333333333,3.0,2.0,3.0,1
2.142857142857143,5.0,5.0,0.3703703703703703,3.0,5.0,3.0,4.0,4.0,5.0,5.0,0.0,1.0,4.0,3.0,2.0,1.6666666666666667,1.0,5.0,3.0,0
2.8571428571428568,3.0,5.0,2.592592592592593,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.333333333333333,3.0,2.0,2.0,1
0.9523809523809524,4.333333333333333,0.0,1.1111111111111112,1.0,2.5,4.0,1.0,1.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,5.0,2.0,2.0,1.0,0
0.0,4.166666666666666,0.0,0.0,1.0,2.5,4.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0,2.0,1.0,0
3.333333333333333,2.833333333333333,0.0,2.0370370370370368,3.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,3.0,1
5.0,3.1666666666666665,5.0,4.444444444444445,2.0,5.0,4.0,4.0,3.0,4.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,5.0,1
3.095238095238095,4.166666666666666,5.0,2.0370370370370368,2.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1
0.4761904761904761,4.5,0.0,1.2962962962962965,1.0,2.5,4.0,1.0,1.0,4.0,4.0,5.0,4.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,0
4.285714285714286,1.8333333333333333,5.0,4.814814814814815,3.0,5.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,5.0,1.6666666666666667,5.0,4.0,4.0,2
0.7142857142857142,4.333333333333333,0.0,0.7407407407407407,1.0,2.5,4.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,1.0,5.0,2.0,2.0,1.0,0
4.523809523809524,1.0,5.0,3.518518518518518,5.0,5.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,1.6666666666666667,4.0,4.0,4.0,2
2.380952380952381,3.5,5.0,2.0370370370370368,3.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.333333333333333,3.0,2.0,2.0,1
2.619047619047619,3.6666666666666665,5.0,2.592592592592593,2.0,0.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,1
